"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
26.350,1.587E-13,2.7,0.00
26.400,1.659E-13,2.7,0.00
26.450,1.538E-13,2.7,0.00
26.500,1.494E-13,2.7,0.00
26.550,1.450E-13,2.7,0.00
26.600,1.467E-13,2.7,0.00
26.650,1.471E-13,2.7,0.00
26.700,1.433E-13,2.7,0.00
26.750,1.453E-13,2.7,0.00
26.800,1.382E-13,2.7,0.00
26.850,1.395E-13,2.7,0.00
26.900,1.425E-13,2.7,0.00
26.950,1.338E-13,2.7,0.00
27.000,1.340E-13,2.8,0.00
27.050,1.345E-13,2.8,0.00
27.100,1.306E-13,2.8,0.00
27.150,1.298E-13,2.8,0.00
27.200,1.383E-13,2.8,0.00
27.250,1.262E-13,2.8,0.00
27.300,1.323E-13,2.8,0.00
27.350,1.344E-13,2.8,0.00
27.400,1.349E-13,2.8,0.00
27.450,1.376E-13,2.8,0.00
27.500,1.361E-13,2.8,0.00
27.550,1.381E-13,2.8,0.00
27.600,1.332E-13,2.8,0.00
27.650,1.418E-13,2.8,0.00
27.700,1.479E-13,2.8,0.00
27.750,1.448E-13,2.8,0.00
27.800,1.377E-13,2.8,0.00
27.850,1.432E-13,2.8,0.00
27.900,1.381E-13,2.8,0.00
27.950,1.400E-13,2.8,0.00
28.000,1.481E-13,2.8,0.00
28.050,1.371E-13,2.8,0.00
28.100,1.477E-13,2.8,0.00
28.150,1.361E-13,2.8,0.00
28.200,1.456E-13,2.8,0.00
28.250,1.400E-13,2.8,0.00
28.300,1.499E-13,2.8,0.00
28.350,1.389E-13,2.8,0.00
28.400,1.437E-13,2.8,0.00
28.450,1.367E-13,2.8,0.00
28.500,1.484E-13,2.9,0.00
28.550,1.439E-13,2.9,0.00
28.600,1.320E-13,2.9,0.00
28.650,1.493E-13,2.9,0.00
28.700,1.533E-13,2.9,0.00
28.750,1.520E-13,2.9,0.00
28.800,1.461E-13,2.9,0.00
28.850,1.470E-13,2.9,0.00
28.900,1.425E-13,2.9,0.00
28.950,1.505E-13,2.9,0.00
29.000,1.400E-13,2.9,0.00
29.050,1.519E-13,2.9,0.00
29.100,1.350E-13,2.9,0.00
